artist_name,artist_popularity,artist_followers
$uicideboy$,83.0,8957416.0
'ery noice,25.0,11720.0
(((()))),51.0,49519.0
*nsync,69.0,3088613.0
-,28.0,714.0
009 sound system,36.0,37357.0
03 greedo,61.0,548736.0
2 chainz,74.0,8305217.0
2 vive,31.0,1866.0
2'live bre,32.0,3893.0
21 savage,84.0,23822155.0
24kgoldn,65.0,2285613.0
2pac,78.0,22555572.0
3 doors down,71.0,4909653.0
3oh!3,61.0,1067391.0
4 non blondes,65.0,699249.0
4batz,62.0,669148.0
4ourty8,29.0,6670.0
5 seconds of summer,75.71428571428571,10246609.0
50 cent,82.0,18868122.0
7horse,44.0,29307.0
932sounds,31.0,23317.0
a boogie wit da hoodie,77.0,8987309.0
a great big world,57.0,649992.0
a tribe called quest,64.0,2402371.0
a!ms,47.0,7071.0
a$ap ferg,68.0,4287336.0
a$ap rocky,82.0,17333176.0
a-ha,71.0,2910085.0
a17n,27.0,893.0
a2o,46.0,13826.0
aakaash rao,31.0,1438.0
aaliyah,64.0,5034992.0
aaron tippin,49.0,669174.0
aaryan shah,58.0,343014.0
abba,79.0,14888609.0
abeer nehme,50.0,247771.0
ac/dc,80.0,32304988.0
adam hicks,50.0,52929.0
adam lambert,57.0,1638163.0
adam levine,71.0,1063656.0
adam port,71.0,334659.0
adam skorupa,42.0,17023.0
adam taylor,29.0,6929.0
addison rae,74.0,1366758.0
adele,83.0,66751662.0
adrian von ziegler,47.0,171819.0
adrianne lenker,72.0,1456368.0
adrián berenguer,49.0,120556.0
aerosmith,75.0,16049674.0
aeseaes,44.0,50139.0
aespa,76.0,9769257.0
afronom,52.0,44492.0
aftertheparty,40.0,148074.0
agnes obel,58.0,926281.0
agtha,39.0,5582.0
ahmed saad,61.0,6382603.0
aidan bissett,52.0,188111.0
aimee mann,48.0,265205.0
aj mitchell,50.0,905982.0
ajr,70.0,3667184.0
aki,45.0,754.0
akira2k,30.0,2899.0
akon,81.5,6007512.0
alabama 3,43.0,72674.0
alaina castillo,46.0,173092.0
alan jackson,72.0,3371242.0
alan silvestri,57.0,327300.0
alan walker,78.0,41271918.0
alanis morissette,67.0,3178420.0
alec benjamin,72.0,5577631.0
alek olsen,57.0,136639.0
alessandro alessandroni,41.0,26142.0
alessia cara,72.0,12275134.0
alesso,72.0,4034180.0
aleta,28.0,2055.0
alex & sierra,52.0,1235269.0
alex clare,51.0,502300.0
alex g,74.0,3547184.0
alex serra,50.0,143740.0
alex warren,84.0,2896488.0
alexander 23,52.0,514896.0
alexander merlin,27.0,1978.0
alexander nate,45.0,28641.0
alexandra savior,45.0,316112.0
alexandra stan,60.0,432466.0
alexandre desplat,62.0,344438.0
alexey omelchuk,37.0,12801.0
alexsucks,45.0,35428.0
ali gatie,64.0,2174956.0
alice boman,37.0,47757.0
alice in chains,74.0,6243211.0
alicia keys,78.0,12900561.0
alien ant farm,58.0,1036648.0
alisa okehazama,47.0,19307.0
alison krauss,59.0,419072.0
allie x,51.0,869651.0
allison amber hage,17.666666666666668,69.0
alok,76.0,11247155.0
alt-j,67.0,3424761.0
altan urag,17.0,10611.0
alter bridge,60.0,1234078.0
aly & aj,53.0,696587.0
amaarae,64.0,577324.0
amb1shn,19.0,139.0
amber run,58.0,562813.0
america,70.0,2065190.0
america allen,20.0,696.0
american authors,62.0,1646684.0
aminé,64.0,2022794.0
amy macdonald,63.0,538408.0
amy winehouse,75.0,9748123.0
ana shine,45.0,27570.0
ananya,15.0,1068.0
anaumali,18.0,148.0
andrei krylov,40.0,25945.0
andrew belle,54.0,256468.0
andy grammer,65.0,1334303.0
andy shauf,49.0,198619.0
ane brun,55.0,354566.0
angus & julia stone,64.0,1327111.0
anitta,78.0,13246794.0
anna calvi,39.0,132386.0
anna kendrick,62.0,390914.0
anna marx,34.0,1703.0
anna of the north,61.0,286274.0
annalise azadian,31.0,5701.0
anne-marie,75.0,12848260.0
anohni,44.0,190329.0
anson seabra,59.0,1103242.0
anthem hits platinum,23.0,1636.0
anthony touma,20.0,3260.0
anthony willis,35.0,5351.0
antonin herbeck,27.0,268.0
antony genn,25.0,2951.0
apollo sunshine,26.0,8128.0
aqua,63.0,779228.0
arcade fire,62.0,2397896.0
arcane,76.0,771980.0
arctic monkeys,84.0,32068481.0
arcángel,82.0,17833538.0
aresty.,17.0,4.0
ari abdul,66.0,755880.0
ari pulkkinen,35.0,20991.0
ariana grande,90.0,107418606.0
arizona zervas,59.0,817341.0
arlo parks,53.0,650334.0
armani white,58.0,620939.0
armin van buuren,73.0,4533003.0
artemas,74.0,1378935.0
arya,23.0,1867.0
asaf avidan,58.0,447958.0
asal,59.0,135959.0
ascence,54.0,10450.0
ash7on,7.0,308.0
ashanti,70.0,3561441.0
ashe,69.0,2556993.0
ashlee keating,23.0,2754.0
ashley johnson,44.0,36322.0
ashley tisdale,49.0,1327604.0
ashnikko,71.0,2614697.0
ashris,29.0,2339.0
ashwin gane,47.0,2695.0
astrid s,62.0,1379500.0
atb,62.0,451208.0
athenadme,22.0,178.0
atli örvarsson,41.0,18176.0
atlxs,74.0,483247.0
au/ra,60.0,597593.0
audio dope,31.0,15288.0
audioslave,69.0,5146839.0
audrey evans,4.0,30.0
aurora,72.0,4699258.0
austin wintory,47.333333333333336,55551.0
ava beathard,26.0,7366.0
ava max,77.0,7755194.0
avicii,79.0,23434999.0
avril lavigne,76.0,12010110.0
avu-chan,22.0,855.0
awolnation,60.0,2060915.0
